mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model,sweep_param,anchor_params
2.8627577781677247,0.26243553056974056,0.38475899696350097,0.02424255915568891,0.1,{'C': 0.1},0.7443371384668562,0.7430899125300221,0.748444342465544,0.7548041954119692,0.7513521688362679,0.7484055515421318,0.004345910828468169,1,0.7524297419402289,0.7527198754678591,0.7513889875321944,0.7497805814570357,0.7508028831434155,0.7514244139081467,0.00107504844092988,LR,C,{'C': 1.0}
2.665667724609375,0.1829566938183986,0.4239687442779541,0.0521195270383308,0.03,{'C': 0.03},0.7443412578200158,0.7430053230403885,0.7485054686185428,0.7549496173241756,0.7512160066082327,0.7484035346822712,0.004391226914029885,2,0.7524256960733039,0.7527236829677033,0.7513804142746905,0.7497982951887532,0.7508101817566282,0.7514276540522159,0.0010690269186489586,LR,C,{'C': 1.0}
2.787166786193848,0.3162059642493887,0.41079325675964357,0.04467603306140994,0.3,{'C': 0.3},0.7443109948492791,0.7431303311337958,0.7483878461546306,0.7547425797602476,0.7513784182052732,0.7483900340206452,0.004326391503664555,3,0.7524021640161819,0.7526971859810074,0.7513689004128064,0.7497608295690963,0.7507958751491014,0.7514049910256386,0.0010714208654224822,LR,C,{'C': 1.0}
2.703648090362549,0.12150533733407032,0.3741339683532715,0.007107400410619328,1.0,{'C': 1},0.744335731361074,0.7431019443041021,0.7483990230421327,0.754705663398243,0.7513794583900592,0.7483843640991222,0.004317985999599658,4,0.7523908269208976,0.7526975467183545,0.7513667500878867,0.7497527776411076,0.750779652751205,0.7513975108238903,0.001073742265059713,LR,C,{'C': 1.0}
2.930945301055908,0.26308979756375855,0.3878346920013428,0.01323080465738298,3.0,{'C': 3},0.7443022259291869,0.7430930530269853,0.748368796496005,0.7547021349282832,0.7514156812955399,0.7483763783352,0.0043304701958054555,5,0.7523942915290585,0.7526894804783097,0.7513584929421671,0.7497471207697424,0.7507850840105306,0.7513948939459616,0.0010736013645233783,LR,C,{'C': 1.0}
2.642760181427002,0.1798876965611654,0.3774066925048828,0.016964027307284735,10.0,{'C': 10},0.7443030824283586,0.7430900960655589,0.7483844808509119,0.7546943437402802,0.7513974270723387,0.7483738860314897,0.004326198717207579,6,0.7523937625325955,0.7526918756213319,0.7513625284659936,0.7497440297573357,0.7507874803417984,0.7513959353438109,0.001074732141248831,LR,C,{'C': 1.0}
2.7010874271392824,0.05405982087879592,0.3880470275878906,0.031315533887361746,100.0,{'C': 100},0.744301124715966,0.7430854057129515,0.7484002059973791,0.7546937522626569,0.7513776023740688,0.7483716182126046,0.004324791252416907,7,0.7523938836281714,0.7526913083841605,0.7513656118305345,0.7497412765256664,0.7507789058096503,0.7513941972356366,0.0010764216416228266,LR,C,{'C': 1.0}
2.5454495429992674,0.1564852467060643,0.37697715759277345,0.016663541008415512,30.0,{'C': 30},0.7443016753225765,0.7430880975674913,0.7483865408247034,0.7546932423681539,0.7513777043529695,0.7483694520871789,0.004323880447158605,8,0.752393905297906,0.7526927220156729,0.7513625641560338,0.7497420935726571,0.7507806393258866,0.7513943848736313,0.0010763348095891914,LR,C,{'C': 1.0}
2.7691816806793215,0.15773260347620222,0.4714289665222168,0.0749159400040885,0.01,{'C': 0.01},0.7440829825340445,0.7424136860410517,0.7483702853879532,0.755039317965113,0.7506239579031098,0.7481060459662544,0.004540219477107547,9,0.752120055938508,0.7523626065529532,0.7509982198317826,0.7494596222005306,0.750480390489828,0.7510841790027205,0.0010694440030409233,LR,C,{'C': 1.0}
2.6335848808288573,0.2747401591441322,0.44249467849731444,0.04150442076155515,0.003,{'C': 0.003},0.7415324707502984,0.7391130645183492,0.7460126351857801,0.7532628251214823,0.7472321192745222,0.7454306229700866,0.00489968679027951,10,0.7493388092327856,0.7496029620232803,0.7480559711604081,0.7466676923304398,0.7477352311427211,0.748280133177927,0.0010786847053652331,LR,C,{'C': 1.0}
2.62181715965271,0.3295868706385722,0.4110762596130371,0.04536424954643366,0.001,{'C': 0.001},0.7343305566785777,0.7308796807297373,0.7388082541722117,0.7465231007704507,0.7389119463183067,0.7378907077338568,0.005257988292874747,11,0.7414915737236877,0.7418720330787224,0.7401629862162515,0.7386989144874285,0.7400930120685871,0.7404637039149353,0.0011297993343960065,LR,C,{'C': 1.0}
