group,model,dropped_cols,base_auc,val_auc,delta_auc,base_accuracy,val_accuracy,delta_accuracy
per_minute_rates,LR,190,0.9773957221602652,0.771843364391841,-0.20555235776842418,0.9185325869652139,0.7001199520191923,-0.2184126349460216
player_hero_wr,LR,14,0.9773957221602652,0.9666004724730488,-0.010795249687216346,0.9185325869652139,0.8989404238304678,-0.0195921631347461
cumulative_counts,LR,56,0.9773957221602652,0.9710144979674066,-0.006381224192858581,0.9185325869652139,0.9070371851259497,-0.01149540183926423
hero_multihot,LR,76,0.9773957221602652,0.9737390925479568,-0.003656629612308393,0.9185325869652139,0.9103358656537385,-0.008196721311475419
mmr,LR,51,0.9773957221602652,0.97613863206661,-0.0012570900936551554,0.9185325869652139,0.9165333866453419,-0.0019992003198719965
experience_gap,LR,3,0.9773957221602652,0.9773065438716408,-8.91782886243142e-05,0.9185325869652139,0.9192323070771692,0.0006997201119552932
global_hero_counts,LR,12,0.9773957221602652,0.977342518976868,-5.320318339718799e-05,0.9185325869652139,0.919032387045182,0.0004998000799680824
accuracy,LR,24,0.9773957221602652,0.9774341355781798,3.841341791466224e-05,0.9185325869652139,0.9194322271091563,0.0008996401439423929
global_hero_wr,LR,14,0.9773957221602652,0.9774524828818458,5.6760721580673135e-05,0.9185325869652139,0.9184326269492203,-9.996001599354987e-05
per_minute_rates,XGBoost,190,0.9731361497843493,0.756078853433424,-0.2170572963509253,0.9086365453818472,0.6887245101959216,-0.21991203518592561
cumulative_counts,XGBoost,56,0.9731361497843493,0.9638232343218491,-0.009312915462500126,0.9086365453818472,0.8897441023590564,-0.018892443022790806
player_hero_wr,XGBoost,14,0.9731361497843493,0.9652282220703274,-0.007907927714021823,0.9086365453818472,0.8952419032387046,-0.013394642143142677
mmr,XGBoost,51,0.9731361497843493,0.9713655350497455,-0.0017706147346037149,0.9086365453818472,0.9097361055577768,0.0010995601759296036
hero_multihot,XGBoost,76,0.9731361497843493,0.9721195332829682,-0.0010166165013810735,0.9086365453818472,0.9082367053178728,-0.0003998400639744215
global_hero_counts,XGBoost,12,0.9731361497843493,0.9731908319442946,5.468215994530734e-05,0.9086365453818472,0.9120351859256297,0.003398640543782472
experience_gap,XGBoost,3,0.9731361497843493,0.9735631143248872,0.0004269645405379219,0.9086365453818472,0.9114354258296681,0.0027988804478208396
global_hero_wr,XGBoost,14,0.9731361497843493,0.973865145319439,0.0007289955350897603,0.9086365453818472,0.9100359856057577,0.0013994402239104753
accuracy,XGBoost,24,0.9731361497843493,0.9738991218077089,0.0007629720233596204,0.9086365453818472,0.9098360655737705,0.0011995201919232645
